A4 noradrenergic cell group		GBP7,-1.6156	OR8H1,-1.9647	ACOT8,-1.7391	ARL14,-1.7806	GPR37L1,-2.049	PPP2R1A,-1.7658	MED6,-2.8366	CDC20,-1.6634	NEIL3,-1.6346	DDX39B,-1.6748	LAP3,-1.911	KATNAL2,-2.3067	ZSCAN20,-2.5745	UQCRC2,-1.6107	RBCK1,-1.6434	TMCC3,-1.6506	RNF2,-2.5271	CMAS,-1.7182	TESK2,-2.377	ZFYVE1,-2.1357	IL27RA,-2.4275	KIAA1328,-1.9689	FRAT1,-2.609	SNRPD2,-2.3613	HERC1,-1.6943	VTI1B,-2.2774	CHAC2,-1.7213	NXNL1,-1.5306	EXOSC2,-1.6858	SAMD11,-1.7437	SAMD5,-1.6012	EPSTI1,-2.1076	HABP2,-1.6211	BATF3,-1.6682	PLK4,-1.716	TSPYL1,-1.701	XRCC4,-2.0981	RAB27A,-1.5539	XRCC2,-1.705	BHLHA15,-2.1282	C10ORF35,-1.6465	VPS37C,-1.6305	TUBG2,-1.8138	NARFL,-3.595	DHFR,-3.3261	FERMT1,-1.5725	RNF144B,-2.2363	BPIFB3,-1.6517	SMU1,-2.0005	RIPPLY3,-1.5693	RNPS1,-1.6747	SFXN2,-2.0793	PTGES3L,-2.4101	NECAB2,-1.7247	ZBTB8A,-1.8543	CDCA3,-2.6999	TMEM110-MUSTN1,-1.6253	IL23R,-4.2556	CDCA7,-2.1502	NAPEPLD,-2.3628	STMN4,-2.1938	EDDM3B,-3.1986	LYPD6,-1.5339	SMC4,-2.8657	LIPC,-2.2765	GRPR,-1.7846	RXFP3,-1.8959	SLA2,-3.4929	ADH4,-1.5941	EPM2AIP1,-1.9064	GRIN2B,-1.6889	FAM134B,-1.5866	DPF1,-2.0813	PRKAR2B,-2.4312	RCC1,-2.6828	DIRC2,-1.8522	OR8D4,-1.7039	SEC63,-1.5799	TRPM6,-2.86	PCDHA7,-2.4175	BLCAP,-1.5768	GABBR2,-1.6435	MYBPC2,-2.0221	HARS2,-3.4183	LRRC25,-1.5719	KCNB1,-1.8201	SSR3,-1.645	GABRA4,-1.5816	UBE2G2,-1.5241	LMBR1,-3.0635	DERA,-3.0412	KAT2A,-1.6912	MAPT,-1.6492	SLTM,-1.9852	PAH,-2.2699	COL22A1,-2.2485	ADA,-1.8796	RCCD1,-1.5287	TOMM6,-1.5259	IGSF8,-1.5461	IL18BP,-1.8669	GABRB3,-2.0383	PTPRT,-1.7255	ARF3,-2.3034	MOGAT2,-1.8902	PHF23,-1.7103	PQBP1,-2.0065	IER3IP1,-1.5373	CD3D,-2.1064	RAD51AP1,-2.8104	BOLL,-1.6967	SLC22A16,-1.9379	C6ORF57,-2.9195	SMYD1,-1.6094	FARP2,-2.3394	IL34,-2.2657	GPR35,-1.7526	AADAT,-6.0784	AHSG,-1.55	CSNK2A1,-1.7939	FMO1,-1.681	DKKL1,-1.6523	AP3D1,-1.5687	LBX1,-1.8171	PPP2CA,-2.3686	PARP9,-1.9912	MKLN1,-1.9968	SPSB2,-2.2796	TTC8,-2.3901	CINP,-1.6912	TCEA1,-2.3246	DNASE1L3,-2.7386	SF3A1,-1.9723	LLGL2,-1.9422	ANKRD13D,-1.6741	SERPINB11,-2.3599	ZSWIM1,-1.6859	SMG5,-1.5759	ANKRD13C,-1.6863	UCMA,-2.3187	HEATR1,-1.893	PELI3,-2.199	N4BP2L1,-2.4986	KRI1,-1.6093	ZDHHC4,-2.145	XPO1,-2.3411	PODNL1,-1.596	SMPD4,-1.8131	JPH4,-2.0755	NUDT16,-1.8176	BRD8,-1.9677	ZSWIM3,-1.9065	MYOZ1,-1.7858	LMO1,-1.6029	RARS2,-1.7972	GK,-2.8048	YIPF4,-1.8966	NPY1R,-1.84	CWC15,-3.2103	ATP11B,-2.8204	CNOT10,-2.1468	UCKL1,-2.1395	TEX2,-1.5264	SHISA9,-1.7066	GRHL1,-2.7846	SDHA,-1.6542	C1ORF123,-1.5769	SLC25A38,-2.4886	DOK3,-1.5275	CXCL13,-1.7173	GSTA3,-1.5322	ITGA11,-1.9259	UQCRQ,-2.7858	AMOTL1,-1.6023	PTPN7,-1.6753	DAP3,-1.8452	DCLRE1B,-2.3823	CD86,-1.5972	NOL3,-2.2296	MPO,-2.6382	CELSR3,-1.8891	CDH8,-1.732	TMEM245,-1.7058	GBX1,-2.6408	PDE8B,-1.5765	TRAPPC3,-1.6587	IGFBP1,-1.8548	SLC15A2,-1.8955	CPA1,-3.2188	NOP16,-3.4353	C21ORF59,-1.9998	LRRC40,-3.5367	LIME1,-1.676	LSM6,-1.8082	SSH3,-1.8664	LRRC45,-1.5781	ACSF3,-2.1457	TMEM17,-2.2052	APPBP2,-2.689	ACTBL2,-1.7277	CDC42EP2,-1.7768	DGKK,-1.9898	SKIV2L2,-1.5968	BCL2L2,-1.8525	CUL2,-1.5596	ARHGAP19,-2.4033	COX7A2,-1.6275	PLCXD3,-1.9992	HIGD1C,-2.0347	CORO1C,-1.7111	PLB1,-1.6168	KLHL10,-1.6562	IL18RAP,-1.8334	CLSPN,-1.5278	RBMX2,-1.7402	ZMAT5,-1.8257	EIF4EBP2,-1.5652	TXNDC9,-1.5987	CAV3,-3.0628	BDNF,-2.1011	RBM19,-1.5967	TXNRD2,-2.0624	LANCL2,-2.0836	HTR1A,-2.1824	ATP5F1,-1.7073	C1QTNF9B,-1.6352	LINGO1,-1.884	ACVR2B,-1.715	EPN2,-1.7158	TNFRSF21,-1.5307	MYH4,-1.9973	C6ORF211,-1.956	HOOK2,-1.5837	RMND1,-1.7688	CDK1,-1.6365	SCGB3A2,-2.8528	DCTPP1,-3.0044	IRF7,-1.5503	ARPP21,-2.0056	FBP2,-2.6772	METAP2,-2.0266	GTF3C5,-1.9685	L3MBTL3,-1.9478	DLX6,-1.5292	BNC1,-1.7858	ILK,-2.1391	RNPC3,-2.6496	RPAP2,-2.0388	FHIT,-1.9545	GLT6D1,-1.6245	METTL14,-1.5825	CA4,-1.9263	BDKRB1,-1.7459	BCL7C,-2.454	XIRP2,-1.6273	CA8,-1.8716	RDH16,-2.1537	ECT2,-1.7279	SNAPC1,-1.6031	HGFAC,-2.064	CNGA1,-1.7604	MARCKSL1,-1.8544	METAP1D,-1.6801	KCNH5,-1.8521	SLC13A5,-1.6731	MID1IP1,-1.9885	DCXR,-1.9944	LEPREL2,-1.6235	ENOX1,-2.1161	CLDN7,-1.7351	CLDN6,-2.2243	PPAP2C,-3.0654	IFIT1B,-2.4694	ASXL3,-2.0165	CRY2,-1.6596	ERCC8,-3.2543	PFDN2,-1.6393	CERCAM,-1.8332	FAM98C,-1.9208	KRAS,-2.1234	SNRPA1,-1.8708	TRIB3,-1.7667	CAMK2D,-1.5996	PKD1,-1.6885	UHRF1,-4.0906	SQRDL,-2.0695	PIK3C2A,-1.6805	NADSYN1,-2.3714	RLBP1,-2.1499	DCAF17,-1.6188	ADD1,-2.1915	SART3,-1.7053	POLR2C,-2.1957	SIX3,-1.839	TRA2B,-1.9047	BNIP2,-6.0989	KCNJ2,-2.1164	ILKAP,-1.7211	MBL2,-3.394	PCDH1,-2.7935	
AOB, glomerular layer		HES7,-1.214	ENTPD3,-1.0026	ENTPD6,-1.2113	ACSL1,-1.6968	RPL24,-1.0461	TAAR5,-1.1323	CACNA2D3,-1.7001	ARMC9,-1.0636	SMARCA2,-1.3169	EML2,-1.0877	GRIN3A,-1.0977	ZFYVE19,-0.96429	EML6,-0.96577	PDCL3,-1.5886	SNTN,-1.3184	SST,-1.8606	SPINT1,-1.7598	RPL26,-1.8083	PSMC1,-1.0343	SUCLG1,-0.96676	FLYWCH2,-1.0427	STX18,-1.127	FGL1,-0.98946	SLC35B2,-1.8998	PPP1R3A,-1.5269	CREB3L1,-0.97757	FZR1,-1.1942	RNF115,-1.6527	OGFOD1,-1.0405	PSMD4,-1.3073	LONP2,-1.1588	SNCG,-1.1399	EXOSC4,-1.1956	E2F6,-1.4837	JUND,-6.5453	ZNF263,-2.3128	TMEM50B,-1.1494	STARD10,-1.0915	SURF6,-1.0693	SLC11A2,-1.2068	MIF,-1.0863	OMG,-1.2859	RAB27B,-1.2741	HNF1B,-1.0658	COX7A2L,-1.5692	COMMD5,-1.0332	SLC16A14,-1.0239	RNF144B,-0.95307	RIPPLY3,-1.3266	GNPAT,-2.1597	PADI6,-1.4599	DUS1L,-0.96856	RPS25,-1.0661	MRAP2,-1.3536	RPS24,-1.8428	GMFB,-1.0406	ACSM3,-1.2952	STMN3,-3.0021	STMN4,-2.0002	A1BG,-1.0242	CD1D,-1.321	TMEM186,-1.2952	CIAO1,-1.2453	DNALI1,-1.2723	KIAA0020,-2.4971	PRDX5,-1.0052	BLOC1S1,-1.033	INPP5F,-1.102	ARL6IP5,-1.0453	HMOX2,-1.2952	PDK3,-1.1283	NUDC,-1.0742	TNFRSF12A,-1.2595	CARD9,-1.1025	ATPIF1,-1.8887	MAGEE1,-1.0865	NUTF2,-1.0574	RHOD,-1.8525	SIRT3,-1.0631	LRPPRC,-1.0307	TMEFF1,-1.0377	CLDN11,-1.2659	TPPP3,-1.4954	SLCO4A1,-1.206	TTLL3,-1.124	GAS1,-1.5764	PAFAH1B1,-1.4394	FAM20B,-1.1221	MPND,-2.2086	HOXD9,-1.6931	CRLF2,-1.0568	HMX3,-2.1897	SLBP,-0.97295	CLIC6,-1.6415	TMPRSS4,-1.402	KIF15,-1.1153	ENDOD1,-2.1857	MRPL35,-1.6109	FAM149A,-1.3213	PNPO,-1.5971	PLLP,-2.2027	IL33,-1.8335	FOXB1,-1.5276	UTP6,-1.0967	MDH2,-1.1989	ELMOD1,-1.1401	FAM189A2,-1.3259	SLC39A14,-1.1962	LDOC1,-1.0686	PGM2L1,-1.54	ERP44,-2.0481	FAM195A,-1.9597	UBE2V1,-0.99621	LAMTOR2,-1.0411	SLC29A1,-1.2183	PNPLA2,-1.4585	ZSWIM1,-1.2586	FH,-1.0502	MTMR10,-1.0779	CSTA,-0.95186	ZDHHC20,-1.3529	SLC43A1,-1.5812	MRPS35,-2.1259	ATL3,-1.3438	ADAM23,-1.9111	ASGR1,-1.1217	TMEM53,-0.95637	FSTL1,-1.5125	MRPS31,-0.95843	VMO1,-1.079	NEFL,-1.0785	ANXA9,-1.0622	GAST,-1.2492	NEFH,-1.1297	BRD8,-1.0037	ANKMY2,-1.6733	GPR137,-1.9464	SEPT10,-1.3856	YIPF2,-0.96459	RPS8,-1.0143	YIPF3,-1.0046	GSS,-1.0388	ANKRD24,-1.7793	RPS7,-0.97126	MID1,-0.99304	HINFP,-1.0491	PHOSPHO2,-1.0167	EMCN,-0.99603	GFI1B,-1.0465	DNAJB12,-1.1121	SLC25A33,-0.96099	LOC100130301,-1.7478	AGRN,-1.306	POGLUT1,-1.0597	RELA,-1.3622	CHRNA4,-1.1375	ALDH1L1,-1.3279	RGS14,-0.99231	GPS1,-1.0915	KNDC1,-0.99056	FBLN1,-1.5827	CASC1,-1.4035	TBRG4,-0.97303	SLIT2,-1.0305	MYH14,-1.036	NT5M,-1.0302	PAK3,-1.5479	NDUFV2,-1.2573	LDLR,-1.4183	LYNX1,-1.6773	SPECC1,-1.3634	NOP16,-1.1044	SYT2,-1.2751	RPP40,-1.0119	CCDC137,-1.2262	PAM16,-1.1147	CCDC136,-1.4308	RABL2A,-1.6317	C21ORF59,-1.1503	B3GALT5,-1.0059	KCNAB1,-1.1751	FAM199X,-1.2203	EEF2,-2.1541	CTPS1,-1.9101	MED27,-1.7195	ABHD15,-1.1856	SDK1,-1.5028	PICALM,-1.1307	QDPR,-1.5108	DCTD,-1.3908	NAT8,-1.2187	REEP5,-2.2404	RCAN3,-1.1603	DGKQ,-1.4407	GNAS,-1.651	GPR108,-0.98406	MAFK,-1.0379	NIT2,-1.4084	PVALB,-1.3002	KCNE2,-1.171	OLFML2B,-1.0488	MAEA,-1.0536	ETS1,-1.1314	MAGEL2,-1.078	NTS,-1.1146	AK8,-1.2392	EFEMP2,-0.96295	MED31,-1.2232	FNTA,-1.4096	NDN,-1.9675	WASH1,-1.1256	CLCA1,-1.0542	EIF2B2,-1.0774	MARK4,-1.6251	ZNF521,-1.2446	OR4D5,-1.216	HGSNAT,-2.5052	CMTM4,-1.8954	RPL13A,-0.99718	HTR1B,-1.0373	ABHD14B,-1.4303	NAP1L2,-1.3421	FOXL1,-2.7923	HAX1,-1.5689	MARCH2,-1.0314	CYP26A1,-0.99548	NDUFS8,-1.8445	EEF1G,-1.1597	TMEM219,-1.3403	PIR,-1.0136	IRF9,-1.381	ATG4B,-1.5912	BLMH,-0.9788	TMBIM6,-1.1502	NFKBIE,-2.1501	PYCRL,-1.0049	NDUFB8,-1.0001	HSPB7,-2.2656	TAT,-1.334	LMBR1L,-1.1049	HTR2C,-1.7369	ACSM2A,-1.0001	MOBP,-1.003	KLC2,-1.5064	HAPLN4,-1.5817	LRRC16B,-1.1712	RAP1GAP,-1.1434	ATP5O,-1.4338	DBP,-1.475	PDLIM2,-1.1657	CYP26B1,-2.2314	SYNGR3,-1.2332	MFSD6,-2.2402	NUP43,-1.2251	YWHAQ,-1.578	ORC3,-2.2138	WNT1,-1.3416	ACP2,-0.95677	YWHAH,-1.6719	KLHDC10,-1.0275	REC8,-1.8553	TRIM42,-1.3514	IRX1,-1.1484	TAF13,-1.1415	NDUFA6,-1.259	HCRTR1,-1.0844	YWHAZ,-1.829	PLA2G16,-1.1798	KLF7,-1.4977	MYO1C,-2.4505	TBC1D7,-0.99922	ANAPC4,-1.6886	FAM98C,-1.3487	INA,-1.0911	TELO2,-1.0962	HCN2,-1.3175	CCDC63,-1.2788	EIF4A3,-0.96579	SLC24A2,-0.99863	FLT3,-0.97251	TM2D3,-2.1331	RNF14,-1.0165	COL15A1,-1.0681	DCTN2,-1.3599	ETFA,-1.3531	SLC4A2,-1.659	ATP5G3,-1.484	NR3C1,-0.95673	ADAMTS3,-1.0421	MAPK9,-1.2575	HAUS8,-1.0924	ADAMTS2,-1.0403	RESP18,-1.4133	CNR1,-1.3009	TRIM28,-1.5172	EPHB2,-1.95	BEND6,-1.273	INSL5,-0.9531	EPHB4,-1.1835	POLR2M,-1.3026	
AOB, granular layer		CHGA,-1.3711	ENTPD1,-1.4591	EPHA8,-1.1757	ENTPD3,-1.1303	ENTPD6,-1.4383	ACSL1,-2.2324	RPL24,-1.5631	FBXO2,-1.1359	TRIP4,-1.139	CACNA2D3,-1.5888	PPA1,-1.3563	SMARCA2,-1.7635	EML2,-1.2643	GRIN3A,-2.2916	DYNC1LI1,-1.1425	CPEB2,-1.9527	SNTN,-1.7946	SST,-2.7195	ZSCAN22,-2.4104	RPL26,-2.136	VPS28,-1.4824	SLC35B2,-2.1373	PLEKHB2,-1.1306	UHMK1,-1.3159	FZR1,-2.0412	RNF115,-2.2641	GNG3,-1.7804	OGFOD1,-1.2461	E2F1,-1.579	PSMD4,-1.2164	CREB3L3,-1.5446	MYC,-1.337	LONP2,-1.2782	SNCG,-1.1558	RABAC1,-1.2694	EXOSC4,-1.4877	E2F6,-1.6881	MTA3,-1.1175	ABCA3,-1.1344	ZNF263,-1.3847	SLC35C2,-1.4382	DDIT4L,-1.3656	NR1D1,-1.1373	OMG,-2.0244	RAB27B,-1.2987	IQSEC1,-1.2513	PRKCA,-1.1254	HNF1B,-1.207	KIAA1244,-1.677	KIAA0391,-1.1689	COX7A2L,-2.3044	COMMD5,-1.6029	UCHL5,-1.3113	BTD,-1.1252	DOPEY2,-1.2246	LPHN2,-2.2879	RIPPLY3,-3.0957	RPS28,-1.3348	GNPAT,-2.7056	SERPING1,-1.4531	RPS21,-1.1485	INTS9,-1.1828	RPS24,-1.782	GMFB,-1.1484	RNH1,-1.1413	RPL4,-1.6014	ISCA1,-1.1858	AIRE,-1.5836	ACSM3,-1.4692	FAM89B,-1.3232	MUS81,-2.4197	STMN3,-2.2178	C1ORF177,-1.1681	STMN4,-1.9312	A1BG,-1.2365	CD1D,-1.7623	CIAO1,-1.1932	KIAA0020,-1.4566	C4ORF50,-1.1363	CCDC92,-1.1548	PRDX5,-1.1296	ASL,-1.3291	ARL6IP5,-1.2058	SFN,-1.6677	HOXC9,-1.3018	CTSB,-1.7455	ATMIN,-1.1361	TNFRSF12A,-1.7766	ATPIF1,-2.1847	TSC22D4,-1.79	MAGEE1,-1.457	MBLAC2,-1.3387	GAS1,-1.5735	VSNL1,-1.1675	PAFAH1B1,-1.8028	MEGF9,-1.1257	MPND,-1.1613	GAS6,-1.4562	HOXD9,-2.5923	CRLF2,-2.086	HMX3,-2.197	SLBP,-1.2747	CLIC6,-2.0304	MTTP,-1.1687	KCNC4,-1.1459	ENDOD1,-1.8546	MRPL35,-1.2227	FAM149A,-1.6311	EXTL2,-1.2104	UCHL1,-1.5169	TRIM3,-1.4792	TMED4,-1.3405	EMB,-1.1973	PNPO,-1.5735	PLLP,-1.7117	DFNB31,-1.158	IL33,-1.204	MAP4K2,-1.2277	FOXB1,-1.1519	DBNL,-1.5394	ELMOD1,-2.0013	MPP1,-1.4943	ACOT13,-1.4425	FAM189A2,-1.7747	SLC39A14,-1.3653	GFRA1,-1.1978	F3,-1.1479	TOMM34,-1.2937	PGM2L1,-1.4559	ERP44,-1.2091	NGFRAP1,-1.1779	FAM195A,-2.5745	PLIN5,-2.0535	LAMTOR2,-1.4409	SLC29A1,-1.2597	ANKRD13D,-1.6189	ZSWIM1,-1.2726	FH,-1.326	MTMR10,-1.5377	MRPS35,-1.3351	ATL3,-1.9643	ADAM23,-1.8526	GLRA2,-1.2306	GUK1,-1.2984	ADRBK1,-1.1338	NEFL,-1.2586	ENPP5,-1.91	GAST,-1.2305	NEFH,-1.159	CCT8,-1.131	BRD8,-1.5199	ANKMY2,-1.4422	GPR137,-1.3606	SEPT10,-1.6792	ANKRD24,-1.6508	MUL1,-1.1297	SDHD,-1.129	AKR7A2,-1.6347	SCNN1G,-2.1274	COPS6,-1.1244	DNAJB12,-1.7815	PVRL2,-1.1795	LOC100130301,-1.2618	KANK4,-1.27	AGRN,-1.506	RELA,-1.7225	SLC27A2,-1.3432	CHRNA4,-1.3216	GPS1,-1.2205	NEXN,-1.8749	FLNB,-1.1761	ANKRD33,-1.6138	PAK3,-1.399	NDUFV2,-1.2592	ZNF665,-1.4075	LDLR,-1.5525	MAP2K4,-1.2065	LYNX1,-1.5529	SPECC1,-1.5695	SYT2,-1.6106	RPP40,-1.8547	CCDC137,-1.1238	CCDC136,-2.589	RABL2A,-1.1616	C21ORF59,-1.2852	KCNAB1,-2.015	TBCB,-1.5677	EEF2,-2.0104	SDK1,-1.473	FRMD5,-1.3395	REEP5,-2.099	DGKQ,-1.4456	GNAS,-1.8764	GPR108,-1.4734	NIT2,-1.2932	BCL2L2,-1.489	PVALB,-1.5767	NOTCH4,-1.2096	CABP7,-1.64	ATP8A2,-1.3396	OLFML2B,-1.2515	ETS1,-1.6254	MAGEL2,-1.2085	COX7A2,-1.2733	AK8,-1.5016	GATAD1,-1.1768	ESD,-1.174	NDN,-2.8723	WASH1,-1.8421	MARK4,-1.4603	SH2D5,-1.1754	ZNF521,-1.5782	RPH3A,-1.292	HGSNAT,-2.7202	DGCR2,-1.3116	LIMK1,-1.4031	CMTM4,-2.275	RHBDD1,-1.1275	HTR1B,-1.4348	ABHD14B,-1.687	LAMB2,-1.3029	NAP1L2,-1.6635	FOXL1,-3.3331	HAX1,-1.4831	NDUFS8,-1.4993	TMEM219,-1.135	ATG4B,-1.5221	SFT2D2,-1.1356	NFKBIE,-1.6874	RBMS3,-1.3272	B4GALT3,-1.2893	GTF3C2,-1.4537	YWHAB,-1.134	HPCA,-1.2137	HSPB7,-2.4904	GLO1,-1.239	HSPB8,-1.5942	LMBR1L,-1.1227	ACSM2A,-1.2619	OPRL1,-1.1793	KLC2,-1.646	HAPLN4,-1.8331	RAP1GAP,-1.5463	ATP5O,-1.2237	BMP15,-1.1446	DBP,-1.1272	PDLIM2,-1.2062	CALB1,-1.7615	CYP26B1,-2.3401	SYNGR3,-1.7907	MLANA,-1.7754	C9ORF16,-1.1432	MFSD6,-2.0297	YWHAQ,-1.5054	ORC3,-1.2373	YWHAH,-1.7871	NTRK1,-1.7481	TAF13,-1.594	NDUFA6,-1.351	HCRTR1,-1.1719	LMTK3,-1.2639	ANXA10,-1.1723	YWHAZ,-1.8358	DCN,-1.2001	PLA2G16,-1.4745	DNAJA2,-1.1794	KLF7,-4.6518	MYO1C,-2.3208	SYT13,-1.7572	ASPG,-1.187	TBC1D7,-1.2818	ANAPC4,-1.772	VDAC3,-1.4954	SLC25A11,-1.5812	SMPDL3B,-1.2968	EIF4A3,-1.738	TRABD,-1.3708	SLC24A2,-1.4373	EPHB6,-1.1458	TM2D3,-2.2731	ADPGK,-1.1218	COL15A1,-1.1902	DCTN2,-1.1685	ETFA,-1.5162	ATP5G3,-1.5459	NR3C1,-1.8248	HDAC8,-1.6405	ADAMTS3,-1.733	MAPK9,-1.2704	ADAMTS2,-1.5354	RESP18,-1.8157	CNR1,-1.3517	PCBD2,-1.2204	TRIM28,-2.4787	MMAA,-1.166	EPHB2,-2.0213	BEND6,-1.1617	EPHB4,-1.5418	EARS2,-1.28	POLR2M,-1.2163	
