A4 noradrenergic cell group		TAAR9,2.8116	EBF2,2.3134	WDR78,2.1409	RRAGA,2.2201	SPATA18,2.5289	SPINT2,2.6366	MRGPRD,3.3444	CD9,2.7946	RBP1,2.5822	CYB5RL,2.4273	MXRA8,2.3832	PM20D1,2.917	ITIH5,2.3226	EPAS1,2.6424	AHCYL2,2.458	PANK2,2.5254	PON2,2.2162	LRP5,2.1831	SLC5A3,2.1544	NSL1,2.5498	CLDN2,3.3557	LRP8,2.4694	AQP1,2.2781	CLDN1,3.3733	TMEM72,3.6472	GNG4,2.3129	NHLH2,2.1961	C10ORF107,2.1675	S100A13,2.545	LY6G6C,2.2361	POF1B,2.2846	WLS,2.9363	C2ORF82,2.6076	FZD4,3.5359	COG7,2.2403	FZD6,2.1943	FOXF1,2.487	FZD7,2.5432	ERLIN2,2.8134	TYSND1,2.1855	ACADSB,2.2647	OR51I2,2.1285	PARP12,2.4918	PPFIBP2,2.4223	ATP4A,2.2831	ALDH7A1,2.3683	TCN2,2.5245	SLCO5A1,2.2032	SFXN4,2.1388	PRR15,2.2749	MOXD1,3.0207	CAPSL,2.2928	COL13A1,2.1274	C1ORF177,2.3018	WFDC2,2.5927	SLC6A2,2.5487	DNALI1,2.1521	TNS1,2.2506	LGALS2,2.4605	T,2.6766	BLOC1S1,2.2658	HMOX1,2.4075	PDK4,2.3808	LRAT,2.3514	MNX1,3.0382	SLC19A1,2.1355	HOXC9,2.1926	SCARF2,2.3996	AS3MT,2.2006	ARGLU1,2.236	ACE,2.8317	ANXA2,2.1988	CARD9,2.1976	PAX7,2.3879	SORCS1,2.2795	RAB33B,2.6131	PHOX2A,2.1762	KIF9,2.2308	CLDN16,2.5016	PTPRB,2.7713	ID3,3.7102	ITPKB,2.222	NCR1,2.4543	GAS6,2.56	CC2D1B,2.5461	ATR,2.1434	MYCBP,2.2915	IGSF6,2.8815	TPH1,2.6514	WFIKKN2,2.5921	IGSF5,2.2513	ACY3,2.7149	MAOA,2.2633	CAB39L,3.2342	CTSZ,2.7861	PRDM16,2.3075	CYP7A1,3.057	LIMD1,3.0478	TMEM27,2.1955	SLC22A18,2.587	KRT28,2.1976	TIMP3,2.4564	EMB,2.3611	RNF152,2.4494	PLEKHN1,2.4135	CLIC3,2.9108	STRA6,2.4781	CTSC,2.7514	CGNL1,2.3708	PARP4,2.1452	TMEM176B,2.7309	ELOVL7,3.3817	SORBS3,2.3926	GPR4,2.2426	F5,3.1688	GUCA2B,2.2882	SERPINB6,2.4457	HADHB,2.3342	FOXR1,2.1891	NBR1,2.2519	SHKBP1,2.9841	RLIM,2.2484	DHRS13,2.1639	HRSP12,2.3518	CD63,2.9035	CCL11,2.1417	F13A1,3.3653	FAM69C,2.239	KCNA7,2.2478	HCCS,2.2563	GUCA1A,2.7411	ADAMTSL2,2.411	LMAN1,2.482	ING3,2.3596	EGFLAM,3.6259	SCML4,2.5325	OLFML1,2.9352	SOSTDC1,3.1818	CTNNA1,2.4322	C16ORF78,2.2272	FADS1,2.6415	CCDC157,2.2837	PDGFRB,2.1971	CA12,2.1787	CD164,2.7193	PRLR,2.2513	LRRC69,2.4243	UNC5CL,2.648	MPEG1,2.563	SLC31A1,4.8728	TECRL,2.2557	VCAM1,3.0856	ATP11A,2.7888	UBXN10,2.4693	ZNF558,2.2144	DYDC1,2.2031	CD69,2.7315	S100A8,2.3393	FIGF,2.3154	PHLDB2,2.4399	ERVFRD-1,2.2539	CD82,2.6342	ASB14,2.5972	GPR65,2.4609	VWCE,2.1653	TEKT1,2.2112	TEKT4,2.7006	MSX1,2.3122	SLC16A9,2.2085	ZNF423,2.4432	CA14,2.3906	IGFBP2,3.9551	SLC30A7,2.3569	LRRC46,2.1522	PDIA2,3.0422	PPEF1,2.1371	EPHX1,2.7199	FANCM,2.2813	RBPMS,2.5817	TTC21A,2.4178	MR1,2.3282	DDX52,2.1281	LSM5,2.1681	KRT31,2.3157	MAVS,3.0711	TMEM237,2.6049	SMO,2.2254	C6ORF118,2.1284	PGPEP1L,2.6149	IL7R,2.503	C21ORF62,2.6333	C11ORF97,2.4629	DOCK6,2.4192	AKNA,2.182	ISYNA1,2.6166	CD151,2.2474	CBFB,2.1502	PYROXD2,2.6615	SLC2A1,2.4677	GSTCD,2.1268	LGALS3BP,2.4184	HIGD1B,3.0892	AK7,2.1537	LTBP1,2.4582	ARHGAP5,2.4878	RGS5,2.4179	SALL1,2.1336	COBLL1,2.6862	FHAD1,2.63	MAEL,2.4193	BTLA,2.6554	IGFBP7,2.5172	ODF1,2.3312	ACAA2,2.4724	KL,3.7044	TTC16,2.2627	EMX2,2.6832	TTC12,2.997	GGH,2.4796	CCDC37,2.217	CFLAR,2.723	GPR98,2.2291	LAMB2,2.4908	BICC1,2.4733	BMP6,2.5205	CUL4B,2.7106	DNAJC3,3.8102	SP1,2.1563	DAP,2.4389	DNAJC1,2.8418	PIKFYVE,2.3137	DMRTA1,2.1533	ALPL,2.8785	MTRF1L,2.8251	BCAR3,2.1688	KDM5D,2.2122	SHC4,2.3298	TTC25,2.1705	DBH,2.5982	DBI,2.7939	CHD1,2.4094	WNT6,2.6171	SPN,2.2187	TTC23L,2.2513	PLTP,2.9624	CYP26B1,2.1744	CASP6,2.8513	TMEM204,2.1517	TMEM207,2.2341	CCDC180,2.1811	CCDC34,2.5415	CA9,2.724	OVGP1,2.4182	PLEKHG2,2.3893	CPT1A,2.5057	PLEKHG3,2.7879	MYO10,2.1384	RNASET2,3.0332	TBC1D9,2.5871	NAGA,2.1309	PCOLCE,2.2152	MUT,2.5735	FOXJ1,2.1282	SOD3,2.608	ATOX1,2.2316	KRT73,2.1377	SNTB1,2.3528	RP2,2.1318	RPIA,2.26	COL8A1,2.542	ALS2,2.1683	COL8A2,2.2466	SMPDL3A,3.3803	PCOLCE2,3.0422	SLC25A13,2.5185	TAF3,2.4134	FOLR1,2.6111	ITGB2,2.5823	HEMGN,2.1913	PRPS2,2.7759	SLC24A5,3.6643	FLT1,2.2052	ALAS2,2.3325	LSP1,2.1384	SYCP2,2.3825	SEMA3B,2.3176	ETFB,2.3776	PRELP,2.1473	ZBTB40,2.3473	PBXIP1,3.0172	SLC4A5,2.4004	CLN8,2.1841	EFS,2.3917	TTR,2.2022	RBM3,2.9498	HECTD3,2.3225	NAGLU,2.5058	ALDH2,4.4209	CTNNAL1,2.6542	PCBD1,2.2823	CYTH2,2.2582	
AOB, glomerular layer		ZNF287,2.7005	SFMBT1,2.8913	SLC12A1,2.9182	COL24A1,2.7837	HUS1,3.5858	ENTPD8,3.6455	CACNA2D4,2.7001	RFX1,3.2279	UPF3B,2.9536	SMARCA4,2.7568	PCDHGA10,3.0619	SPATA16,2.6666	APC,2.8321	CAPN10,2.8772	SARNP,2.8438	CYP20A1,2.7215	TBPL2,2.6972	PCDHB5,3.48	NHLRC3,2.7594	NEIL2,2.7785	C2ORF73,2.8732	EPHA3,2.7801	NUP205,2.836	VIPR2,2.9254	CHIC2,3.1448	KDELR2,3.2803	STXBP3,2.7159	LRP5,2.8551	CALML5,3.0316	CSN2,2.9641	DLL1,2.8903	C3ORF17,2.702	UXT,2.7492	GNG4,4.1032	IFT74,2.7333	ZSCAN12,2.6264	C10ORF2,2.6462	HMCN1,2.9405	MS4A13,3.1158	SLC12A9,2.9018	SRMS,2.7292	ABT1,2.9097	PBX3,2.8414	BPIFB6,3.0096	RAD17,2.8231	SNAI3,3.2541	MMS19,2.8075	EZH2,2.6561	CAPS2,2.8727	FBXL7,2.76	IL1RN,3.9972	IPO13,2.9673	NPFFR2,3.2627	CTBP2,2.9572	MAPKBP1,2.7904	NCAPG2,4.4234	SLC22A3,2.7003	IL20RB,3.4989	LYPD5,2.7729	PPFIBP1,3.3449	IKZF4,2.7619	ICAM1,2.6473	GATA1,3.2236	CD79B,3.8789	SOX4,3.7329	RINL,2.7657	PELO,2.7392	HTR7,2.9153	BPIFA2,3.5074	FCRLA,2.7741	TRPM1,2.6442	ART1,3.0857	WBSCR27,2.8253	RUSC1,2.7727	ALX4,2.7636	SOX9,3.0264	PCDHA4,3.2335	ALX3,3.63	PUSL1,2.6678	PCDHA9,2.7093	BARD1,3.1603	NMB,3.3389	KCNB2,3.066	TMEM40,3.1134	NFATC3,2.6905	DNTT,2.8096	PAX6,2.6444	TLR2,3.6284	RAD51C,2.6315	IL1B,3.1546	CSDC2,3.1481	FAM20C,2.6504	VN1R4,3.0481	ALDOB,2.7665	GPR19,2.7053	GNRH1,2.8193	TOP2B,2.6899	ZNF595,3.1648	TPH1,3.3873	IGSF3,2.7681	SLC35F2,2.8959	NEDD9,2.8671	APOLD1,2.6862	GNGT1,3.0411	SLC22A14,2.7007	GABRR1,2.7972	NPC1L1,2.8935	SNTG2,2.7694	MED11,3.329	SEC61B,3.4143	ANKRD1,3.2167	SMYD1,2.9572	ATAD2,2.7447	LMLN,3.4203	SPAG11B,2.8336	PPARA,2.8324	PLIN1,2.9348	TMOD3,2.6662	UBE2E3,3.2231	GATC,3.0002	GP1BB,2.8561	UBE2E1,2.6499	CYP8B1,2.6722	ANO6,3.5489	HEYL,2.6264	ABCB11,2.7361	AGBL2,3.3063	KIF26A,3.1555	CPSF4L,2.7539	SLCO4C1,2.6331	CYP21A2,2.9242	AGBL3,2.7521	ANKRD42,2.6586	LGR6,3.3065	RGR,2.923	LGR5,2.7265	AMIGO1,2.7216	RNASEL,2.756	PHF2,2.8046	GCNT1,2.9025	PYGL,3.2197	EFCAB5,2.7316	GDPD4,2.9142	ODF3L1,2.7301	QRFP,2.6858	FGFRL1,2.6275	GLI1,2.6535	GRAMD2,2.7425	SERTAD4,2.6839	HEY2,2.6494	RAB8A,2.8313	RAC2,3.6144	CTNNA3,3.2306	ZNF205,2.9621	ZNF689,2.6464	FILIP1L,2.9223	EOMES,3.7742	MAP3K1,2.8224	CD163,2.7325	ANKRD23,3.0696	CPSF4,2.8649	TFPI2,2.8697	SEMA4D,3.2085	MITF,2.6292	ZBTB12,3.1275	GPR50,2.8137	PCDHA11,2.7727	TMPRSS15,2.8107	PCDHA10,2.7178	LRFN3,4.0811	RAB31,2.723	LRCH2,2.6179	TBC1D21,2.6928	BUB1B,3.63	CD300C,3.4511	AIPL1,2.8018	ZNF799,3.1259	GHDC,2.7127	DCLRE1C,3.1705	KANK3,4.2913	EPO,2.9074	KANK1,2.8341	PRDM1,2.8306	TNF,2.92	PROKR2,2.8881	FRZB,2.9537	ABLIM3,2.6516	NPHP1,3.0775	FAM184A,2.8829	FAM196A,2.6224	CAPN6,4.6038	TBX21,2.7871	SMARCAD1,2.866	C11ORF85,2.636	FST,3.1504	EPHX2,2.6707	INHBA,2.746	POU3F4,2.8266	EFNA4,3.2044	SELP,3.2203	TMEM2,3.7187	RADIL,2.9455	CDHR1,3.3914	PITPNM3,2.8717	HPSE,2.9684	MAP3K10,2.6742	TAB1,3.33	MXD3,2.6284	IFT27,3.0118	C11ORF96,2.837	DOCK5,2.75	ANKRD17,2.6706	CXORF66,2.7798	LRRC55,2.8652	FGF4,2.889	TM7SF3,2.9626	SCGN,3.4285	SALL1,2.7734	C1QTNF6,2.6304	UBD,3.0811	TNFRSF8,2.9848	CLCA2,3.08	ZKSCAN5,2.7902	TGM6,3.2795	HADH,2.625	CPA6,4.408	SLC37A1,2.9335	PCDHGA9,3.2588	UGT2A1,3.2373	MYOCD,3.5687	TNFRSF19,3.1621	MSL3,2.8622	NAV1,2.6719	YDJC,2.8801	ACVR2B,2.8062	BMP2,3.0012	IL6,2.6635	RASA2,3.7338	DMRTA1,2.7265	IRF8,2.7233	ZNF516,3.2071	FAM96A,4.11	LCOR,2.6258	EAPP,2.6556	SP8,3.5266	PAOX,2.7761	DOCK2,2.7008	SERINC5,2.9685	KCNK5,2.8867	DLX2,2.6425	GPSM1,2.7353	ABCB7,2.9109	BMP10,3.7812	UBA7,2.8571	TNFAIP8,2.957	ALOX15,3.0231	ADRA1A,2.9481	DPP4,3.1965	C15ORF39,2.6938	SNAPC2,2.7243	LLPH,2.8104	MARVELD2,2.6414	ADAMTS19,3.4945	SNAPC5,2.6998	CD300LD,3.3869	ZNF503,2.7726	CEP170,3.3261	PDLIM5,2.8325	MAGEA11,2.652	DACT1,2.7075	FAM83B,3.4804	METAP1D,2.7389	CR2,2.7863	CCDC57,2.8415	EYA3,3.0014	TP53INP1,2.932	ARID1A,2.7945	TBX6,2.69	MTOR,2.6908	SYT10,2.8841	DCX,2.8981	RBM44,3.089	MYO1G,4.1099	SEMA3A,2.8036	ABCD3,3.3675	NUP107,2.7517	LAMA3,2.7315	CXORF23,2.8929	EHMT1,2.8513	PPM1J,2.85	CRX,2.876	ADAMTS5,3.0724	SART1,2.6198	FAM154A,2.7629	VSIG2,3.3813	POLR2C,3.4421	TRAT1,2.7624	MDH1B,2.692	CLVS1,2.721	CACNG5,2.6393	BEND7,2.8239	
AOB, granular layer		STARD6,2.8016	PLEKHA2,3.2034	SCAF11,2.8773	SLC12A1,3.2407	COL24A1,2.7952	PLEKHA1,2.7451	ENTPD8,3.3788	PNMA5,3.1142	LARP7,2.7734	SMARCA4,2.7013	PCDHGA10,3.0851	EML5,2.8277	KIAA0922,2.9902	APC,3.2549	SCN10A,2.7446	SARNP,2.642	OR10V1,2.6924	CYP20A1,2.7607	ASB7,2.8729	PCDHB5,3.1843	C2ORF73,2.6679	PGAP1,2.7737	VIPR2,2.7424	EHF,3.2043	CHIC2,2.7111	KDELR2,3.348	STXBP3,3.0755	DLL1,4.6072	HNRNPR,2.6686	LRP8,3.1362	NTN3,3.2175	PRPSAP1,2.6722	GNG4,4.2356	C10ORF2,2.6199	CPNE4,2.641	E2F5,2.761	MS4A13,2.9117	CCNL1,2.6404	GBP5,2.6932	SLC12A9,2.6995	YES1,2.8081	ABT1,2.7647	XRCC3,2.9411	RASSF8,2.8727	PBX3,3.3083	BACE2,2.7968	CCDC88A,2.7636	BPIFB6,2.7734	RAD17,2.6749	SNAI3,3.745	TSHZ1,3.212	MMS19,2.6538	MCPH1,2.8748	IL1RN,3.2884	CDCA2,2.7551	IPO13,3.7103	NPFFR2,2.9768	OXTR,2.7093	CTBP2,2.7478	MAPKBP1,2.9771	ARX,3.1014	NCAPG2,3.7272	SLC22A3,2.6853	IL20RB,3.0131	PPFIBP1,3.7516	GATA1,2.8048	TMPO,2.7975	SOX4,4.0838	FCRLA,2.8506	ART1,3.2597	RUSC1,2.6335	CD19,2.648	PCBP3,2.8129	PCDHA6,2.7978	SOX9,2.9313	PCDHA4,2.8426	PUSL1,2.9538	PCDHA9,3.0951	ZNF488,2.9248	BARD1,2.959	SOX6,2.6555	NMB,3.2972	KCNB2,3.4058	JUP,2.6724	NFATC3,2.775	PAX6,2.8324	KLHL5,2.6712	CDC6,2.6833	IL1A,2.7016	TLR2,3.5007	IL1B,2.6475	TLR1,3.1457	GPRC5B,2.8623	CSDC2,3.3138	NME8,2.7109	FAM20C,2.7245	GNRH1,2.8924	CD22,2.6528	TOP2B,2.825	ZNF595,3.0111	GUCY2F,3.2145	TPH1,2.74	BTG1,2.6645	CETN1,2.6262	PTPRO,2.7231	IGSF3,3.0931	KLK9,2.8325	APOLD1,2.6097	PTPRH,2.7835	GABRR2,2.7063	PANX1,2.8752	SNTG2,2.9735	CTBS,2.6924	SMYD1,3.1478	PACSIN2,2.6989	ZNF583,2.6827	SPAG11B,3.4482	PLIN1,3.2006	SYK,3.1323	GSX1,2.7592	DMRT1,2.8693	UBE2E3,3.1762	GATC,2.7641	SYVN1,2.6673	ANO6,3.5309	TJP1,2.7259	GPR141,2.8026	ABCB11,2.8066	AGBL2,2.8903	KIF26A,3.5188	AHRR,2.6877	TMEM39B,2.8751	LGR6,3.6124	RGR,2.949	LGR5,3.1047	LGR4,2.8892	AMIGO1,2.7057	CRB1,3.8276	PHF6,3.0027	RNASEL,3.3072	CDKN1A,2.7801	PTGER2,2.7792	PHF2,3.3793	GCNT1,2.8027	PRIM1,2.9315	EFCAB5,2.6518	ODF3L1,3.0436	GNAI3,2.8509	SERTAD4,2.9476	CHRNA10,4.0652	RAC2,4.2445	ZNF205,3.092	ZNF689,2.6417	ZSWIM6,2.6845	FILIP1L,2.9074	ZNF202,3.0348	EOMES,3.1344	MAP3K1,2.8254	CD300A,2.9439	PRRX1,2.8766	ANKRD23,3.3113	CCDC109B,3.0334	PCDHA11,2.6161	PCDHA10,2.9565	LRFN3,3.3802	RAB31,2.6442	LRCH2,2.8308	HAT1,2.6142	BUB1B,3.3045	LIX1,2.6586	WDFY1,2.8831	ZNF799,3.0144	PKP1,2.6457	RHCG,3.1426	KANK3,4.8011	EPO,2.7689	ERVFRD-1,2.6256	SRSF2,2.6965	TNF,2.8483	INPPL1,2.7906	GPR61,2.8572	PROKR2,3.8682	GRIP2,2.9345	HOXA10,2.7995	DOCK10,2.9178	CDH4,2.8679	ABLIM3,2.7741	NPHP1,3.0334	FAM184A,3.2505	CAPN6,5.2001	MACROD2,2.836	SMARCAD1,3.082	FANCL,3.0937	SEMA6A,2.8443	C11ORF84,2.6483	INHBA,2.9283	CASK,2.6464	FOXN4,2.9906	POU3F4,2.911	CCNA2,2.6316	EFNA4,3.1993	ANKFN1,3.1334	TMEM2,3.284	CDHR1,2.9168	CDHR2,2.7528	PITPNM3,3.1678	KCNA10,2.715	BMP2K,2.6951	FSCN3,2.8029	TAB1,3.5022	LCN6,3.0018	DNMT1,2.6755	IFT27,2.7235	C11ORF96,3.0175	FGF4,3.1226	TM7SF3,4.0735	RHOBTB3,2.7921	C1ORF52,2.708	CAMSAP3,2.7044	SCGN,3.3196	SALL1,3.1839	TNFRSF8,2.701	MAEL,3.0918	CLCA2,3.0276	TGM6,2.8721	CPA6,4.6519	ITGA1,2.8085	PCDHGA9,3.3732	FIGLA,2.7304	YDJC,2.8318	ACVR2B,3.0683	IL6,2.9684	RRM2B,2.6313	RASA2,3.9741	CDK4,2.614	DMRTA1,2.8723	ZNF516,3.2588	FAM96A,3.6253	ITGA6,2.9405	MCM7,2.8847	SP8,3.9404	SERINC5,3.0492	KCNK5,2.7715	DLX2,2.8258	GPSM1,3.4017	DLX6,2.7226	BMP10,3.0692	UBA7,2.6977	ZFP82,2.7347	TREM2,2.7611	ADRA1A,2.7541	CHD1,2.7632	LMNB2,2.7992	DPP4,2.9672	PTBP1,2.6894	C15ORF39,2.6558	PSTPIP1,2.8089	TNPO1,3.0014	SNAPC2,2.7384	ADAMTS19,3.6538	OTX1,2.9407	CEP170,3.0504	PDLIM5,3.6091	LONRF3,3.0467	KDM6A,3.1061	DACT1,2.6242	KDM6B,2.7826	FAM83B,2.6152	HIST1H1D,2.67	PATL1,2.7872	METAP1D,3.192	KCNH5,2.6885	CCDC57,2.8186	EYA3,3.0695	ARID1A,2.8191	TBX6,3.1071	EVI2B,2.6376	CTDSP1,2.637	SYT10,3.238	DCX,3.7489	PKHD1L1,3.5319	FOLR4,2.7764	RBM44,2.7671	HEMGN,2.7562	ABCD3,2.8887	NUP107,2.9683	LAMA3,3.4318	UHRF2,2.9863	WIZ,3.0415	SEMA3C,2.7225	PPM1J,2.7213	ZBTB40,2.9017	ADAMTS5,3.8435	GNA14,2.6955	VSIG2,3.2535	CHSY1,2.9644	TRAT1,2.7031	CACNG4,2.7684	CACNG5,3.0051	BEND7,2.6743	TRIM24,3.296	
AOB, internal plexiform layer		PLEKHA2,3.0498	SCAF11,3.0567	SLC12A1,3.6947	ENTPD8,3.7802	PNMA5,3.7913	UPF3B,3.2893	SMARCA4,2.9625	PCDHGA10,3.0762	MTAP,2.8392	APC,3.3704	CAPN10,2.9289	SARNP,3.0462	OR10V1,3.02	CYP20A1,2.9005	ASB7,2.9552	PCDHB5,3.6495	C2ORF73,2.918	NUP205,2.9618	PGAP1,2.9492	VIPR2,2.8424	EHF,3.98	CHIC2,3.7052	ZNF274,2.9894	LRP2,2.8516	KDELR2,4.1488	STXBP3,3.1442	LRP5,2.9297	DLL1,4.4478	NTN3,3.3352	UXT,3.204	PRPSAP1,2.8344	GNG4,4.2864	IFT74,2.8403	C10ORF2,3.0984	E2F5,2.9901	MS4A13,3.3501	SLC12A9,2.8522	YES1,2.8374	ABT1,3.0112	XRCC3,2.855	RASSF8,2.8693	PBX3,3.0928	C1ORF185,2.9914	CCDC88A,2.8475	BPIFB6,3.369	SNAI3,4.0587	TSHZ1,3.0765	IL1RN,3.8698	IPO13,3.6656	NPFFR2,3.0128	CTBP2,2.9427	MAPKBP1,2.9866	ARX,2.9159	NCAPG2,4.4424	IL20RB,3.9114	PPFIBP1,3.4908	GATA1,3.1112	TMPO,2.8969	SOX4,3.9455	HTR7,3.0897	BPIFA2,3.2858	FCRLA,3.0316	TRPM1,2.9009	ART1,3.6256	WBSCR27,3.1657	RUSC1,3.1631	ALX4,3.0125	PCDHA6,2.901	SOX9,3.2002	PCDHA4,3.1195	PUSL1,3.0208	PCDHA9,3.1765	BARD1,3.4248	BBS1,2.8525	NMB,3.1075	KCNB2,3.2832	NFATC3,3.1663	PAX6,2.8848	IL1A,3.0366	TLR2,3.8838	IL1B,3.0268	TLR1,3.193	GPRC5B,2.8769	CSDC2,3.2427	PIGL,2.8492	RAPSN,2.9246	VN1R4,2.8694	ALDOB,3.1112	RAPGEF6,2.8888	GPR19,3.162	GNRH1,3.0361	TOP2B,3.1139	ZNF595,3.2336	MYCBP,2.8355	GUCY2F,3.584	TPH1,3.2382	IGSF3,3.2154	RPS27L,2.9536	KLK9,2.8849	PTPRH,3.0361	GNGT1,2.9058	SLC22A14,3.2279	GABRR1,3.0542	PANX1,2.8972	SNTG2,2.953	MED11,2.9329	SEC61B,2.8973	ANKRD1,3.1223	CTBS,2.8797	SMYD1,3.3326	MBD4,2.871	ATAD2,2.9156	LMLN,3.1544	SPAG11B,3.7839	PLIN1,3.3367	NUBPL,2.8821	UBE2E3,3.1966	GATC,3.1336	SYVN1,2.932	CYP8B1,3.0095	ANO6,3.6412	GPR141,2.9559	ABCB11,3.3256	AGBL2,3.5934	KIF26A,3.7226	SLCO4C1,2.9901	AGBL3,3.0679	AHRR,2.9706	GPR149,2.978	TMEM39B,3.2613	TRIP13,3.1011	LGR6,3.427	RGR,2.9702	LGR5,3.0389	CRB1,3.6299	PHF6,3.0836	RNASEL,3.4688	PGLYRP3,3.1931	PTGER2,3.2078	PHF2,3.2513	PRIM1,3.2175	EFCAB5,2.9888	ODF3L1,3.113	QRFP,2.8901	FGFRL1,3.0086	GRAMD2,2.8473	GNAI3,2.8406	SERTAD4,2.91	CHRNA10,3.5971	RAC2,4.5709	CTNNA3,3.1739	ZNF205,3.279	ZNF202,3.2109	EOMES,3.3051	ANKRD23,3.3734	CCDC109B,3.1317	CPSF4,2.954	TFPI2,3.1014	BTNL2,3.1431	PRPF4B,2.8685	TMPRSS15,3.4934	PCDHA10,3.156	LRFN3,4.301	RAB31,3.049	LRCH2,2.9471	BUB1B,3.5983	WDFY1,2.9393	ZNF799,3.0358	PKP1,2.85	GHDC,3.0776	DCLRE1C,3.4927	KANK3,4.5916	EPO,3.0511	KANK1,2.8369	PRDM1,3.1117	TNF,3.0239	INPPL1,2.938	GPR61,2.9409	KLHL31,2.9392	PROKR2,4.0769	GRIP2,2.8789	HOXA10,3.0766	CDH4,2.8647	NPHP1,3.4535	FAM184A,3.0767	CAPN6,5.3056	MACROD2,2.9804	SMARCAD1,3.2571	SLC16A5,2.9737	CPA4,3.0448	FANCL,3.1953	ARHGEF16,3.139	INHBA,3.0844	FOXN4,3.0411	ACSF3,2.9761	POU3F4,3.0949	EFNA4,3.9374	SELP,3.0193	ANKFN1,2.8649	TMEM2,3.5157	RADIL,3.0209	CDHR1,2.9084	PITPNM3,3.1709	TAB1,3.7103	LCN6,3.1113	IFT27,3.2004	CHMP6,2.8842	C11ORF96,2.9912	DOCK5,3.0624	CXORF66,2.8894	THADA,3.1367	FGF4,3.4621	TM7SF3,4.3989	C1ORF52,3.168	CAMSAP3,2.9372	SCGN,3.3893	SALL1,2.9105	C1QTNF6,3.1044	UBD,2.8783	TNFRSF8,2.9362	MAEL,2.8456	CLCA2,3.3538	SRD5A1,3.1809	TGM6,3.308	CPA6,4.7757	CPA5,3.1306	ITGA1,3.0699	PCDHGA9,3.5246	UGT2A1,3.028	FIGLA,3.2145	ABCC9,2.8944	MYOCD,3.089	YDJC,3.3307	ACVR2B,3.2804	IL6,3.1477	RRM2B,2.8857	RASA2,3.9828	DMRTA1,2.9656	ZNF516,3.2537	FAM96A,4.5031	ITGA6,2.9465	SP8,3.8507	PAOX,3.1764	SERINC5,3.1805	KCNK5,3.1844	GPSM1,3.2715	BMP10,3.5524	ALOX15,2.9536	ZFP82,2.8446	TREM1,2.9438	TREM2,2.8873	ADRA1A,2.8955	DPP4,3.4411	C15ORF39,3.0459	TNPO1,2.9508	SNAPC2,3.1117	MARVELD2,3.0055	YBEY,2.9956	ADAMTS19,3.6206	SNAPC5,3.3713	OTX1,3.6368	CD300LD,3.2241	C9ORF171,3.3299	CEP170,3.4504	PDLIM5,3.9568	LONRF3,3.0916	KDM6A,2.9497	FAM83B,2.9816	HIST1H1D,2.8459	S100G,2.8836	METAP1D,3.1911	CR2,3.0388	CCDC57,2.9383	EYA3,3.1818	ARID1A,2.9689	SYT10,3.0438	DCX,3.6042	PKHD1L1,3.5781	BPI,3.0868	RBM44,2.9022	MYO1G,3.3129	ABCD3,2.8595	NUP107,3.219	COLEC10,2.9061	LAMA3,3.2426	UHRF2,2.9987	CXORF23,2.9368	WIZ,3.1968	PPM1J,2.9211	CRX,3.2125	ZBTB41,2.835	RPS6KA5,2.9637	ADAMTS5,3.5398	VSIG2,3.8175	POLR2C,3.2501	CHSY1,2.8691	CACNG4,2.8706	CLVS1,2.8502	CACNG5,2.947	BEND7,3.2046	TRIM24,3.0235	
